customer_id,first_name,last_name,date_of_birth,gender,city,state,employment_type,monthly_income,customer_since
C000001,Isaac,Bakshi,1979-06-05,M,Pune,Maharashtra,BUSINESS_OWNER,92097,2020-10-16
C000002,Udant,Dewan,1967-09-08,M,Ahmedabad,Gujarat,SALARIED,213061,2024-06-19
C000003,Gagan,Sami,1962-11-15,M,Pune,Maharashtra,BUSINESS_OWNER,130604,2018-12-18
C000004,Girik,Kamdar,1976-07-17,M,Mumbai,Maharashtra,SALARIED,77314,2023-01-04
C000005,Avi,Issac,2004-12-07,M,Ahmedabad,Gujarat,BUSINESS_OWNER,72124,2024-09-03
C000006,Oni,Kannan,1991-04-13,F,Kolkata,West Bengal,SALARIED,137757,2023-09-21
C000007,Arunima,Ahuja,1971-07-30,F,Chennai,Tamil Nadu,SALARIED,218916,2024-08-25
C000008,Pahal,Oak,1979-08-15,F,Nashik,Maharashtra,SELF_EMPLOYED,92842,2020-01-13
C000009,Tanveer,Nayar,1967-09-01,M,Nashik,Maharashtra,SELF_EMPLOYED,46793,2019-07-02
C000010,Lajita,Chatterjee,1985-02-20,F,Pune,Maharashtra,SALARIED,114104,2025-12-02
C000011,Hemangini,Lalla,1963-09-01,F,Hyderabad,Telangana,SALARIED,211294,2024-12-01
C000012,Tripti,Yadav,1969-03-16,M,Jaipur,Rajasthan,SELF_EMPLOYED,40656,2026-07-22
C000013,Kritika,Brar,1998-04-12,F,Kolkata,West Bengal,BUSINESS_OWNER,182141,2021-03-15
C000014,Janaki,Handa,1965-06-11,M,Hyderabad,Telangana,BUSINESS_OWNER,38233,2019-02-06
C000015,Vedant,Mann,1966-02-21,M,Mumbai,Maharashtra,SELF_EMPLOYED,40916,2025-12-26
C000016,Viraj,Chaudhuri,1986-07-31,M,Ahmedabad,Gujarat,SELF_EMPLOYED,92869,2021-01-27
C000017,Sudiksha,Patla,1971-10-12,F,Jaipur,Rajasthan,SALARIED,117040,2021-11-10
C000018,Isha,Kadakia,1978-11-17,M,Hyderabad,Telangana,BUSINESS_OWNER,89986,2024-09-05
C000019,Ekbal,Garg,1997-01-22,M,Pune,Maharashtra,BUSINESS_OWNER,211136,2024-11-29
C000020,Yash,Gade,1992-03-02,M,Ahmedabad,Gujarat,SELF_EMPLOYED,119471,2021-12-08
C000021,Anamika,Kanda,1982-10-12,M,Bengaluru,Karnataka,BUSINESS_OWNER,105008,2025-11-17
C000022,Daksh,Karnik,1962-11-23,M,Mumbai,Maharashtra,SALARIED,231037,2025-07-23
C000023,Diya,Rattan,1978-12-06,F,Hyderabad,Telangana,SELF_EMPLOYED,37350,2019-04-10
C000024,Siddharth,Murty,1975-03-07,F,Ahmedabad,Gujarat,SALARIED,191819,2024-04-14
C000025,Xalak,Randhawa,2004-06-16,F,Jaipur,Rajasthan,BUSINESS_OWNER,140285,2022-08-12
C000026,Luke,Lanka,1970-03-19,F,Nashik,Maharashtra,SALARIED,84651,2020-10-22
C000027,Adya,Sangha,2000-06-02,F,Kolkata,West Bengal,BUSINESS_OWNER,173245,2022-02-08
C000028,Janaki,Kanda,1970-02-15,F,Delhi,Delhi,SELF_EMPLOYED,77493,2023-01-17
C000029,Wakeeta,Chand,1963-12-02,F,Nashik,Maharashtra,SALARIED,218123,2026-01-13
C000030,Imaran,Dua,2003-05-30,M,Mumbai,Maharashtra,SALARIED,184481,2020-01-27
C000031,Pahal,Bhatt,1986-11-23,F,Nashik,Maharashtra,BUSINESS_OWNER,36653,2021-12-15
C000032,Upadhriti,Wadhwa,1977-10-26,F,Delhi,Delhi,BUSINESS_OWNER,142696,2023-06-01
C000033,Advay,Contractor,1997-04-02,F,Kolkata,West Bengal,BUSINESS_OWNER,245648,2025-02-04
C000034,Amara,Oak,1968-04-20,M,Mumbai,Maharashtra,BUSINESS_OWNER,160763,2021-03-16
C000035,Radhika,Dugar,1991-08-03,F,Bengaluru,Karnataka,SALARIED,96939,2018-09-27
